person,personLabel,work,workLabel
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q309086,Licence to Kill
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q309289,The Man with the Golden Gun
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q320423,The Spy Who Loved Me
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q332330,For Your Eyes Only
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q332368,A View to a Kill
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q334780,Moonraker
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q591272,Casino Royale
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q594402,Casino Royale
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q18602670,Spectre
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q21534241,Bond 25
http://www.wikidata.org/entity/Q2182794,Tom Riddle,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q2567947,Marge Dursley,http://www.wikidata.org/entity/Q47598,Harry Potter and the Prisoner of Azkaban
http://www.wikidata.org/entity/Q2584003,Gordon Gekko,http://www.wikidata.org/entity/Q332348,Wall Street
http://www.wikidata.org/entity/Q2745280,Welsh Dragon,http://www.wikidata.org/entity/Q185692,flag of Wales
http://www.wikidata.org/entity/Q2797377,Jewel,http://www.wikidata.org/entity/Q289130,The Last Battle
http://www.wikidata.org/entity/Q2797625,Whomping Willow,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q3735406,Eventine Elessedil,http://www.wikidata.org/entity/Q1998865,Shannara series
http://www.wikidata.org/entity/Q3966728,Spike,http://www.wikidata.org/entity/Q5415,My Little Pony: Friendship Is Magic
http://www.wikidata.org/entity/Q5700415,Dudley Dursley,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q7730832,The Dragon,http://www.wikidata.org/entity/Q48328,Beowulf
http://www.wikidata.org/entity/Q8772891,The Captain,http://www.wikidata.org/entity/Q2750339,Hellsing Ultimate
